2025-07-10 22:27:58,162 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:27:58,163 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250710
2025-07-10 22:28:49,374 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:28:49,376 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20250505 → 20250710
2025-07-10 22:29:25,898 [WARNING] fetch_kline.py:162 AKShare 拉取 002243 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:25,955 [WARNING] fetch_kline.py:162 AKShare 拉取 002244 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:26,047 [WARNING] fetch_kline.py:162 AKShare 拉取 002245 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:27,501 [WARNING] fetch_kline.py:162 AKShare 拉取 002245 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:27,644 [WARNING] fetch_kline.py:162 AKShare 拉取 002243 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:27,833 [WARNING] fetch_kline.py:162 AKShare 拉取 002244 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:29,907 [WARNING] fetch_kline.py:162 AKShare 拉取 002245 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:30,672 [WARNING] fetch_kline.py:162 AKShare 拉取 002243 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:30,715 [WARNING] fetch_kline.py:162 AKShare 拉取 002244 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:29:34,708 [WARNING] fetch_kline.py:162 AKShare 拉取 002246 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
